Fecha_Grafico,Anio,Max_Dia,Min_Dia,Max_Hum,Min_Hum,ET_Dia,GD_Dia,Rocio_Prom,Lluvia_Dia,Prom_Temp,Prom_Hum
2023-03-31,2023,33.8,20.0,93,48,4.62,16.9,0,0.0,25.4,74.8
2023-04-01,2023,33.3,20.7,93,51,4.14,17.0,0,0.0,24.9,78.4
2023-04-02,2023,30.4,20.6,94,61,3.07,15.5,0,0.0,24.3,81.1
2023-04-03,2023,32.9,20.5,93,51,3.78,16.7,0,0.0,25.3,76.6
2023-04-04,2023,33.7,19.6,92,50,4.32,16.65,0,0.0,25.8,72.8
2023-04-05,2023,34.2,20.8,86,49,4.45,17.5,0,0.0,26.1,70.2
2023-04-06,2023,33.8,18.7,93,47,4.9,16.25,0,0.0,24.5,75.7
2023-04-07,2023,31.0,19.2,93,54,3.2,15.1,0,0.0,23.9,79.5
2023-04-08,2023,31.2,18.9,95,55,3.3,15.05,0,0.0,23.6,80.0
2023-04-09,2023,32.6,19.6,94,52,4.5,16.1,0,0.0,23.8,77.1
2023-04-10,2023,32.7,17.4,94,50,4.85,15.05,0,0.0,23.4,76.0
2023-04-11,2023,32.1,17.7,92,54,4.42,14.9,0,0.0,23.6,74.9
2023-04-12,2023,31.4,16.9,93,50,4.06,14.15,0,0.0,23.4,73.9
2023-04-13,2023,32.2,17.9,89,46,5.08,15.05,0,0.0,23.9,71.4
2023-04-14,2023,31.6,17.2,91,49,4.65,14.4,0,0.0,23.0,73.2
2023-04-15,2023,33.6,17.6,88,46,4.78,15.6,0,0.0,23.3,73.2
2023-04-16,2023,32.8,18.9,89,48,4.57,15.85,0,0.0,23.9,72.3
2023-04-17,2023,31.0,17.1,90,51,3.73,14.05,0,0.0,22.4,73.9
2023-04-18,2023,32.3,17.6,84,43,5.21,14.95,0,0.0,23.3,68.2
2023-04-19,2023,32.4,15.7,88,45,4.78,14.05,0,0.0,22.3,70.7
2023-04-20,2023,30.3,15.4,92,53,3.84,12.85,0,0.0,21.3,76.9
2023-04-21,2023,31.7,17.3,92,53,4.34,14.5,0,0.0,22.7,76.2
2023-04-22,2023,32.9,18.6,87,48,4.47,15.75,0,0.0,24.0,70.2
2023-04-23,2023,32.6,18.2,86,48,4.06,15.4,0,0.0,24.0,70.9
2023-04-24,2023,32.5,17.6,90,47,4.5,15.05,0,0.0,23.6,71.5
2023-04-25,2023,31.7,16.2,92,51,4.57,13.95,0,0.0,22.7,74.4
2023-04-26,2023,32.6,17.3,91,49,3.71,14.95,0,0.0,23.3,74.2
2023-04-27,2023,33.3,17.1,89,45,4.55,15.2,0,0.0,23.5,72.2
2023-04-28,2023,31.6,17.1,92,50,4.06,14.35,0,0.0,22.6,75.0
2023-04-29,2023,31.6,16.9,91,51,4.32,14.25,0,0.0,22.3,75.4
2023-04-30,2023,31.1,16.2,94,52,4.04,13.65,0,0.0,21.5,78.0
2023-05-01,2023,31.7,16.0,93,48,4.06,13.85,0,0.0,21.5,75.2
2024-03-31,2024,30.8,18.1,92,51,4.27,14.45,0,0.0,22.8,77.0
2024-04-01,2024,33.7,16.9,95,45,5.41,15.3,0,0.0,23.3,74.3
2024-04-02,2024,30.7,17.6,91,52,4.57,14.15,0,0.0,22.6,75.3
2024-04-03,2024,31.2,19.4,86,54,4.78,15.3,0,0.0,23.8,71.5
2024-04-04,2024,33.1,18.4,89,48,4.8,15.75,0,0.0,24.1,72.6
2024-04-05,2024,32.8,19.6,89,50,4.5,16.2,0,0.0,23.9,76.1
2024-04-06,2024,31.9,18.1,94,55,4.72,15.0,0,0.0,23.5,77.8
2024-04-07,2024,32.9,19.1,89,51,5.03,16.0,0,0.0,24.1,75.3
2024-04-08,2024,31.2,18.6,91,55,4.8,14.9,0,0.0,23.4,77.7
2024-04-09,2024,33.3,18.9,92,51,4.8,16.1,0,0.0,24.0,76.3
2024-04-10,2024,33.9,18.6,93,50,4.75,16.25,0,0.0,23.7,77.3
2024-04-11,2024,32.7,18.4,95,51,4.75,15.55,0,0.0,24.0,76.4
2024-04-12,2024,33.1,18.7,91,52,4.42,15.9,0,0.0,24.1,75.1
